index,x,y,z
2540,-150,563,-649
2541,-589,587,3
2542,779,369,-365
2543,-544,-860,-48
2544,-672,210,-599
2545,-59,-332,995
2546,91,-748,-902
2547,24,-804,857
2548,-666,-435,-569
2549,278,-989,-446
2550,-225,497,-681
2551,-682,173,-985
2552,-396,-492,-186
2553,-286,-673,-644
2554,-218,266,-36
2555,978,-714,589
2556,687,622,690
2557,-602,-211,796
2558,-299,730,257
2559,-554,-6,-868
2560,560,-885,-539
2561,54,29,-627
2562,203,660,22
2563,-568,-413,986
2564,367,-672,61
2565,130,-278,487
2566,-358,-515,725
2567,-49,476,913
2568,-886,-442,859
2569,906,777,-968
2570,-786,-761,154
2571,698,-505,7
2572,521,624,672
2573,105,-731,321
2574,360,-784,289
2575,619,966,-620
2576,-196,901,525
2577,183,671,-489
2578,-821,587,-463
2579,718,-332,-870
2580,-159,737,-229
2581,-876,201,-743
2582,513,-910,156
2583,-665,39,84
2584,946,-807,705
2585,355,-729,675
2586,261,77,21
2587,-497,-360,605
2588,-106,946,540
2589,521,308,739
2590,-7,30,-818
2591,925,141,832
2592,-323,404,380
2593,465,750,-617
2594,873,509,90
2595,-503,157,551
2596,67,344,504
2597,628,207,514
2598,-70,166,-513
2599,887,-929,400
2600,404,-530,171
2601,656,997,486
2602,-414,-205,-310
2603,578,-496,714
2604,-900,959,-627
2605,137,-721,-969
2606,618,-380,623
2607,735,-731,-710
2608,-248,-789,-764
2609,-679,-631,-543
2610,-699,-979,-802
2611,-275,405,-836
2612,144,-833,-553
2613,372,-176,423
2614,361,-453,-630
2615,-668,-957,494
2616,-205,831,787
2617,277,-324,393
2618,367,516,666
2619,-47,460,-595
2620,753,-325,72
2621,-413,87,626
2622,-870,826,168
2623,989,797,197
2624,439,953,-894
2625,-955,814,535
2626,-663,-962,905
2627,-474,19,-424
2628,463,683,125
2629,-967,-805,139
2630,-589,-361,814
2631,-553,490,-832
2632,-147,-928,206
2633,268,-524,275
2634,0,-746,303
2635,55,257,-786
2636,-781,-213,-46
2637,-843,-15,-388
2638,-968,-205,979
2639,668,-534,-819
2640,-616,-77,-235
2641,341,-695,-996
2642,-336,296,-840
2643,573,124,913
2644,926,-363,531
2645,370,676,-720
2646,-474,-539,339
2647,-391,-913,710
2648,-826,352,792
2649,-409,-861,-348
2650,-679,314,-753
2651,788,-91,622
2652,-40,-556,821
2653,-388,280,-256
2654,-159,-333,454
2655,410,-931,-793
2656,194,-646,-988
2657,-279,-57,711
2658,-618,-954,-86
2659,879,-451,-107
2660,539,461,389
2661,-955,846,-530
2662,251,218,-54
2663,514,-993,36
2664,-369,-992,-954
2665,-314,550,-379
2666,748,417,922
2667,561,-758,-7
2668,634,-786,619
2669,-917,-347,162
2670,777,-657,-864
2671,-756,-575,713
2672,839,-410,-682
2673,-499,-924,-769
2674,252,59,-385
2675,110,942,-364
2676,-101,488,575
2677,-737,2,369
2678,-292,-90,789
2679,207,29,793
2680,205,716,813
2681,533,486,-265
2682,717,-56,46
2683,-457,-382,672
2684,561,635,-489
2685,145,-589,171
2686,273,-452,988
2687,-210,-212,160
2688,690,-482,-112
2689,449,41,338
2690,151,583,430
2691,399,175,-902
2692,64,-62,-590
2693,617,-856,312
2694,-956,-694,995
2695,661,915,-235
2696,62,-213,-442
2697,934,-34,-298
2698,198,-717,371
2699,-209,-250,281
2700,132,231,961
2701,-495,-762,85
2702,631,-614,-947
2703,502,811,-834
2704,-327,297,-130
2705,-614,791,-984
2706,997,27,-996
2707,268,-437,-779
2708,227,-627,-683
2709,611,-993,-619
2710,764,-489,-758
2711,480,-341,-344
2712,707,383,-466
2713,-581,-407,-195
2714,978,-406,-248
2715,-430,-345,-299
2716,310,396,-280
2717,836,317,-129
2718,950,-481,43
2719,840,890,462
2720,743,883,-469
2721,-398,-353,-913
2722,-833,44,525
2723,-370,-453,581
2724,-336,844,856
2725,597,123,-49
2726,-605,-673,929
2727,-211,128,207
2728,587,206,667
2729,-541,693,681
2730,-188,604,-401
2731,396,447,-264
2732,-464,173,-543
2733,433,-692,762
2734,-350,106,-999
2735,-774,312,-340
2736,280,-277,-290
2737,-852,920,-408
2738,-608,129,-647
2739,-151,-936,187
2740,541,-566,361
2741,-818,-351,-419
2742,-944,-551,-642
2743,696,-680,-86
2744,576,-320,544
2745,-377,573,631
2746,121,177,-883
2747,348,-83,844
2748,190,-902,920
2749,-702,774,7
2750,-487,332,-391
2751,-951,-65,-994
2752,517,461,-396
2753,308,-143,821
2754,594,-128,-175
2755,-688,-459,848
2756,-418,-499,-969
2757,875,-570,-688
2758,396,842,-721
2759,-304,-903,-243
2760,195,-178,-167
2761,-937,-783,-414
2762,745,-849,-813
2763,-999,894,-889
2764,438,-368,-113
2765,961,329,89
2766,-429,219,-384
2767,-208,888,605
2768,725,971,16
2769,569,584,-573
2770,-793,-176,-974
2771,-301,-470,-312
2772,-223,-220,-877
2773,-535,391,-360
2774,-347,-946,-104
2775,331,631,169
2776,145,-953,-526
2777,-601,446,-290
2778,-141,-79,-224
2779,-155,-648,-111
2780,-542,-65,-325
2781,-642,-593,-886
2782,146,931,-726
2783,-533,914,464
2784,273,455,790
2785,-679,382,-686
2786,937,862,784
2787,63,-17,-387
2788,-437,910,405
2789,-734,-235,-350
2790,866,-513,11
2791,-981,-113,-615
2792,-481,365,-746
2793,-628,297,361
2794,8,375,-589
2795,232,54,18
2796,-195,165,555
2797,-241,-713,873
2798,657,-656,-81
2799,69,-189,71
2800,-25,808,-342
2801,-446,-274,517
2802,92,-938,-71
2803,-84,-446,-137
2804,-885,-411,80
2805,-964,956,-785
2806,-11,489,317
2807,-2,384,385
2808,110,-625,869
2809,677,200,-245
2810,-232,-440,860
2811,997,79,140
2812,799,-576,-949
2813,545,-592,546
2814,-376,-284,833
2815,-983,-195,7
2816,-330,912,-58
2817,414,-28,-830
2818,57,-456,-261
2819,408,259,905
2820,604,-448,708
2821,837,-478,-852
2822,-218,-53,-314
2823,9,-531,150
2824,12,619,-244
2825,356,-688,259
2826,665,-951,-571
2827,677,550,810
2828,150,173,-576
2829,422,-391,931
2830,385,763,894
2831,716,102,-868
2832,340,-336,-893
2833,-445,-478,-169
2834,596,436,-1
2835,201,639,3
2836,-961,-421,-940
2837,626,-130,462
2838,922,948,-374
2839,-819,40,421
2840,190,-761,-176
2841,-108,776,711
2842,965,397,45
2843,-763,287,-487
2844,707,-335,-95
2845,-245,-717,333
2846,-843,-703,-948
2847,161,866,-69
2848,-314,-483,-498
2849,807,-224,-692
2850,660,-478,531
2851,364,336,593
2852,-37,-363,221
2853,176,-383,-859
2854,371,846,860
2855,-136,-554,-720
2856,-480,792,550
2857,70,-807,-975
2858,107,343,-531
2859,990,-856,-921
2860,-681,139,619
2861,-466,-718,194
2862,686,-494,-216
2863,724,181,44
2864,401,-365,818
2865,-813,-866,756
2866,882,563,275
2867,-450,786,129
2868,-95,-85,-465
2869,-230,333,-611
2870,424,173,181
2871,-170,-74,105
2872,-362,369,121
2873,494,218,343
2874,-676,-711,550
2875,204,863,-59
2876,162,-348,867
2877,-46,812,-531
2878,936,-92,-697
2879,-351,40,-814
2880,-780,512,958
2881,524,-586,-987
2882,718,-786,844
2883,-84,893,642
2884,-548,251,778
2885,697,-213,4
2886,615,971,427
2887,-381,966,365
2888,-816,465,-639
2889,269,663,-417
2890,-468,-218,363
2891,-198,-372,-590
2892,317,-502,690
2893,-648,875,-839
2894,-209,-985,778
2895,-562,537,193
2896,-666,-158,515
2897,-517,-819,354
2898,616,-701,789
2899,476,-144,-87
2900,-235,-201,-375
2901,361,-23,-852
2902,-559,194,373
2903,-645,476,719
2904,698,-789,-290
2905,217,-459,908
2906,-657,61,-274
2907,-207,897,163
2908,-227,-781,149
2909,-149,-743,-921
2910,707,300,-102
2911,-368,-668,-850
2912,912,853,-442
2913,160,-421,202
2914,-173,491,149
2915,200,958,209
2916,-454,-581,215
2917,329,-895,395
2918,-537,-675,-406
2919,815,963,-396
2920,-528,626,965
2921,-785,-180,-382
2922,-709,963,-311
2923,-784,-596,867
2924,-922,761,810
2925,301,314,488
2926,-524,524,423
2927,961,-469,372
2928,-287,-525,-671
2929,886,-311,649
2930,-158,-171,943
2931,-319,-636,427
2932,509,520,-126
2933,896,521,-251
2934,-2,-162,776
2935,392,-601,-339
2936,31,-681,108
2937,162,-622,-370
2938,727,724,373
2939,88,81,-348
2940,-415,-61,50
2941,140,-698,-899
2942,-507,130,-237
2943,-331,-791,662
2944,655,-244,612
2945,-240,924,510
2946,-405,559,-278
2947,-782,-139,137
2948,-958,239,799
2949,-358,-327,387
2950,481,-637,-444
2951,289,-104,-13
2952,715,301,312
2953,770,144,-360
2954,-425,-647,-727
2955,608,458,-891
2956,565,36,221
2957,577,382,359
2958,-160,-773,-393
2959,8,608,273
2960,-618,742,-655
2961,496,416,-460
2962,448,-771,-398
2963,242,-280,555
2964,-373,429,-35
2965,-250,963,-185
2966,418,-239,-181
2967,143,-799,-506
2968,478,-430,729
2969,-778,413,932
2970,105,218,-464
2971,-257,-671,685
2972,-30,-562,-260
2973,76,-193,-724
2974,562,36,-649
2975,-871,-45,-910
2976,852,566,464
2977,-796,427,912
2978,609,198,-645
2979,-832,-743,-272
2980,129,-690,718
2981,-549,-520,534
2982,187,-941,326
2983,2,265,747
2984,189,819,0
2985,-619,-468,-920
2986,-221,-440,-485
2987,768,388,-646
2988,623,-299,645
2989,436,572,814
2990,-620,301,-818
2991,-758,-838,-591
2992,788,538,-656
2993,-597,196,378
2994,918,707,671
2995,-330,84,-779
2996,487,519,-266
2997,664,161,128
2998,-234,-795,-943
2999,-198,-414,520
3000,-721,-699,555
3001,751,-900,-659
3002,459,-78,663
3003,-322,-345,921
3004,-353,-668,773
3005,216,-1000,-791
3006,-408,-51,-796
3007,-225,621,-438
3008,-496,-348,-343
3009,91,-344,205
3010,6,469,879
3011,-81,-986,-664
3012,175,-785,340
3013,-887,624,-520
3014,-859,-619,850
3015,-585,-53,131
3016,314,310,27
3017,-69,-448,-133
3018,600,-349,-27
3019,-375,-977,-811
3020,94,-61,802
3021,-481,-830,428
3022,495,227,-36
3023,-235,-892,991
3024,920,630,-821
3025,582,-591,-853
3026,993,-508,369
3027,357,79,795
3028,610,-245,286
3029,-963,488,52
3030,708,250,-383
3031,-731,-434,993
3032,-115,-155,-272
3033,-461,-936,-17
3034,856,847,653
3035,-15,-31,647
3036,-69,521,-408
3037,577,660,110
3038,-940,-647,-862
3039,428,604,274
3040,-811,-505,-695
3041,653,-65,-158
3042,-826,-84,-976
3043,417,-88,879
3044,-246,-665,-463
3045,697,938,80
3046,-134,-83,-435
3047,-627,-297,131
3048,297,-976,-209
3049,-603,504,15
3050,-93,624,554
3051,278,982,-351
3052,497,-120,333
3053,624,233,-557
3054,-849,616,441
3055,364,-750,606
3056,-579,-848,-214
3057,590,152,-321
3058,-739,666,-360
3059,513,-59,-184
3060,-382,-986,-908
3061,-95,344,501
3062,788,302,-758
3063,323,403,-339
3064,-738,-104,-843
3065,907,830,-900
3066,433,-552,-532
3067,750,-558,726
3068,-292,338,-22
3069,-453,896,92
3070,-612,-856,-713
3071,35,852,162
3072,-799,-520,693
3073,-963,-90,-879
3074,-924,-667,125
3075,-841,86,732
3076,-604,-590,412
3077,556,66,20
3078,-499,838,312
3079,995,-982,282
3080,288,-409,526
3081,632,-709,901
3082,-228,-911,-207
3083,-879,-843,-58
3084,-368,-552,815
3085,-672,-18,-904
3086,-847,-513,344
3087,294,141,598
3088,-684,571,-201
3089,-31,125,276
3090,205,43,-630
3091,859,-429,-163
3092,183,320,177
3093,859,-545,141
3094,-803,-332,957
3095,742,-476,972
3096,555,724,-825
3097,375,-57,-418
3098,944,774,982
3099,633,-506,981
3100,198,318,298
3101,-469,-930,-433
3102,464,-805,212
3103,666,389,-34
3104,219,-380,-761
3105,937,642,516
3106,-143,6,-128
3107,-686,-107,-413
3108,-377,-710,406
3109,-705,-645,317
3110,526,-474,4
3111,-807,-211,465
3112,-789,639,80
3113,36,-628,-352
3114,633,-633,591
3115,867,935,520
3116,2,299,557
3117,658,980,-386
3118,767,851,-928
3119,-968,-369,716
3120,281,-638,386
3121,-304,-423,557
3122,-212,-902,-95
3123,-12,823,-70
3124,677,-582,811
3125,146,-688,-621
3126,-711,548,914
3127,524,24,517
3128,600,-960,-533
3129,82,397,365
3130,414,-63,-278
3131,-801,126,309
3132,891,367,756
3133,267,41,-853
3134,-93,-198,-760
3135,-497,244,50
3136,-551,-198,-727
3137,815,551,-366
3138,-610,921,361
3139,640,494,-844
3140,480,-35,479
3141,367,-894,-408
3142,245,-211,-403
3143,825,-839,-376
3144,-109,101,-186
3145,803,994,-891
3146,-675,-485,831
3147,910,-166,207
3148,462,592,724
3149,-233,-673,513
3150,-330,460,-304
3151,-393,-325,98
3152,-797,-401,901
3153,863,686,-842
3154,-863,-934,847
3155,367,-430,-157
3156,284,-670,638
3157,131,856,-228
3158,892,-693,156
3159,-840,671,-226
3160,-84,-117,-730
3161,-12,963,846
3162,100,-887,-428
3163,257,-648,220
3164,-467,-916,-2
3165,-898,617,819
3166,281,434,-744
3167,951,-527,-195
3168,-853,737,184
3169,-960,-995,-281
3170,-1,-296,-975
3171,-927,259,-591
3172,-971,-273,-464
3173,-609,477,715
3174,131,864,297
3175,764,-444,-449
3176,-279,-403,676
3177,-130,-112,151
3178,-282,-226,-353
3179,373,-455,618
3180,-490,-156,-795
3181,605,-498,381
3182,-586,806,-325
3183,297,569,982
3184,495,792,168
3185,589,709,-729
3186,-67,-733,-891
3187,598,894,-803
3188,-139,-640,787
3189,-93,-221,-397
3190,843,615,283
3191,-794,-793,726
3192,-266,-951,-478
3193,-466,-660,-184
3194,265,635,-327
3195,-366,189,-661
3196,-380,970,-761
3197,-192,162,141
3198,-8,571,-775
3199,527,605,-901
3200,-450,657,-512
3201,-279,-821,-330
3202,-551,-257,-943
3203,418,-27,333
3204,-706,266,652
3205,-328,926,-695
3206,718,-418,713
3207,-23,251,448
3208,716,-265,433
3209,722,-437,403
3210,384,889,240
3211,-674,-716,-989
3212,577,968,-723
3213,-930,-317,883
3214,-633,602,-65
3215,516,103,662
3216,-452,794,143
3217,960,627,775
3218,-505,337,-329
3219,-407,936,379
3220,-543,913,-683
3221,-476,688,627
3222,400,-528,-571
3223,-169,656,-307
3224,446,-468,852
3225,423,477,390
3226,-561,966,25
3227,199,-331,139
3228,218,-360,-227
3229,307,336,571
3230,562,-856,-765
3231,734,949,649
3232,230,547,-906
3233,20,899,-690
3234,991,-359,-852
3235,-590,913,-791
3236,-794,718,-232
3237,-255,-569,-783
3238,301,-503,372
3239,280,-951,-858
3240,700,693,110
3241,-759,-489,-663
3242,813,-567,795
3243,-807,140,783
3244,-533,200,391
3245,-631,853,-646
3246,-391,760,789
3247,-390,-257,577
3248,636,-629,-310
3249,812,-146,351
3250,280,462,-593
3251,-30,140,-467
3252,-825,433,443
3253,658,501,-866
3254,316,689,722
3255,-622,-28,-518
3256,702,-758,-887
3257,-168,534,-739
3258,704,227,153
3259,-406,355,878
3260,-114,-412,-109
3261,377,-213,-415
3262,-170,-589,293
3263,-328,-801,463
3264,-564,216,96
3265,508,-649,58
3266,-239,298,-498
3267,-150,-448,156
3268,-568,697,-347
3269,86,790,-806
3270,48,-502,662
3271,731,304,715
3272,107,-921,-887
3273,990,-446,-702
3274,-916,-836,-508
3275,-787,857,444
3276,-59,-770,611
3277,523,-491,906
3278,809,329,-52
3279,899,610,-82
3280,-157,987,-787
3281,-560,660,129
3282,433,-480,796
3283,-268,148,-870
3284,-821,920,165
3285,868,774,238
3286,238,-975,-440
3287,928,-669,149
3288,762,937,855
3289,-45,-273,-326
3290,-179,938,185
3291,43,-663,-318
3292,922,-953,845
3293,355,309,-384
3294,-989,-650,-397
3295,240,535,-607
3296,129,-591,459
3297,221,476,-964
3298,856,-10,-466
3299,-608,-55,883
3300,-489,-628,636
3301,-555,-540,220
3302,-624,381,-874
3303,-459,490,-797
3304,981,-404,346
3305,372,986,580
3306,976,-440,-476
3307,797,-335,-730
3308,-558,-888,554
3309,138,39,-92
3310,44,115,619
3311,-821,775,688
3312,998,866,-813
3313,-684,-73,888
3314,-867,591,248
3315,-989,493,408
3316,-307,76,-431
3317,-64,-273,749
3318,-590,-741,666
3319,682,-513,725
3320,-658,-251,-722
3321,838,-923,713
3322,-243,689,312
3323,-883,-893,172
3324,-760,-224,733
3325,313,-474,699
3326,-944,661,799
3327,-630,-381,110
3328,-125,933,703
3329,861,-243,683
3330,233,-948,61
3331,-569,-236,662
3332,-506,183,-328
3333,830,-904,-997
3334,460,-191,-475
3335,673,-436,343
3336,64,751,-327
3337,-83,467,11
3338,-871,-762,427
3339,-863,-755,834
3340,-14,-769,90
3341,509,-196,972
3342,20,-730,-55
3343,84,-993,255
3344,-966,368,827
3345,-983,213,516
3346,-907,842,191
3347,257,-626,804
3348,37,640,80
3349,508,465,94
3350,-729,165,-741
3351,920,363,189
3352,45,793,-924
3353,-839,-348,19
3354,828,-36,-420
3355,-162,-717,-733
3356,734,-883,-261
3357,-420,-428,852
3358,172,644,896
3359,909,-787,-169
3360,327,460,-29
3361,403,-689,-496
3362,955,-85,696
3363,-885,-70,656
3364,-643,876,499
3365,409,-378,578
3366,-106,-858,-258
3367,303,-593,191
3368,-152,145,-882
3369,-285,437,-316
3370,744,332,842
3371,787,546,-101
3372,578,65,-578
3373,499,235,680
3374,801,-805,-295
3375,-686,328,155
3376,-217,-294,-655
3377,409,38,435
3378,810,-271,-912
3379,-969,-69,-581
3380,351,355,860
3381,178,845,498
3382,740,-653,-384
3383,815,-85,568
3384,777,792,131
3385,805,317,493
3386,13,981,606
3387,-380,829,85
3388,315,-363,-115
3389,-961,-66,439
3390,-499,669,758
3391,-633,-615,588
3392,317,-399,786
3393,90,696,64
3394,-701,-312,-842
3395,699,-670,118
3396,-377,360,155
3397,976,904,-943
3398,427,-559,-107
3399,658,513,657
3400,-567,523,216
3401,-881,-453,970
3402,36,-30,569
3403,978,-965,133
3404,393,233,-24
3405,579,337,-796
3406,-25,-272,146
3407,-895,-225,-805
3408,427,-756,386
3409,-708,-980,61
3410,-526,-477,201
3411,371,-891,-522
3412,908,859,-386
3413,-836,64,-675
3414,504,-275,-54
3415,324,980,-615
3416,-349,-899,129
3417,-333,-759,-281
3418,-86,-271,764
3419,-405,-580,378
3420,254,-719,-289
3421,271,486,62
3422,-665,-48,991
3423,858,-11,428
3424,-417,-772,-379
3425,979,-880,163
3426,-338,976,338
3427,-633,163,-266
3428,882,-532,954
3429,600,51,441
3430,-336,978,431
3431,-285,-342,300
3432,-231,559,-681
3433,-273,608,-106
3434,485,-563,-899
3435,943,-217,-798
3436,989,492,-848
3437,278,-624,250
3438,-354,-584,766
3439,907,969,-744
3440,-912,994,-486
3441,99,-212,527
3442,-720,171,-542
3443,-155,-464,361
3444,841,14,672
3445,-77,808,-995
3446,-834,985,80
3447,711,172,377
3448,680,-614,716
3449,281,123,85
3450,361,85,761
3451,-95,27,899
3452,845,739,-676
3453,-781,-613,906
3454,-681,540,503
3455,-224,284,113
3456,-760,-123,-553
3457,28,249,446
3458,966,487,743
3459,-621,-476,503
3460,-221,899,-806
3461,-853,-970,-488
3462,510,-729,-845
3463,-839,679,342
3464,-272,387,-919
3465,211,-101,-386
3466,-277,623,-895
3467,471,-334,116
3468,857,343,738
3469,487,-1,166
3470,526,-123,-939
3471,-759,-190,347
3472,565,-107,-332
3473,-761,98,-940
3474,-482,-438,-500
3475,-610,-951,-896
3476,728,900,-217
3477,-894,-635,-624
3478,-87,-452,225
3479,871,200,-514
3480,428,879,-855
3481,-126,-370,985
3482,-672,834,666
3483,854,893,-472
3484,266,-552,76
3485,109,-588,-438
3486,660,-562,-478
3487,-617,433,-652
3488,971,-452,-241
3489,532,917,-89
3490,611,-675,-675
3491,240,110,801
3492,-579,-19,387
3493,-447,-688,-978
3494,-907,-929,961
3495,-522,31,-510
3496,-30,34,186
3497,943,154,568
3498,-961,-8,-318
3499,-673,-834,-734
3500,-905,461,-176
3501,680,-67,372
3502,-615,-717,-9
3503,-612,2,-485
3504,521,302,-83
3505,-816,167,446
3506,856,965,-494
3507,-288,820,487
3508,-116,599,-204
3509,612,-493,-266
3510,-98,-301,-879
3511,-792,-479,287
3512,-371,550,-875
3513,-391,-839,-959
3514,845,-663,-85
3515,399,-438,-943
3516,855,849,169
3517,-53,-971,248
3518,189,-567,84
3519,312,-148,991
3520,787,-144,526
3521,-309,-659,984
3522,-437,-179,-286
3523,-367,-847,803
3524,382,985,236
3525,-711,497,-829
3526,815,796,792
3527,-937,-106,128
3528,-200,-863,115
3529,676,-326,-11
3530,-550,847,-520
3531,-775,-676,-343
3532,-501,-85,779
3533,61,636,-750
3534,-107,171,189
3535,-280,-291,-270
3536,496,923,-936
3537,114,550,-607
3538,-588,175,929
3539,-468,-968,25
3540,-177,-638,-216
3541,-600,412,61
3542,-260,-341,618
3543,-538,784,295
3544,-550,470,558
3545,-984,-537,-386
3546,-963,-506,27
3547,676,749,-667
3548,910,-288,326
3549,-306,-477,771
3550,286,913,-806
3551,354,241,-589
3552,-231,-592,206
3553,-725,192,735
3554,-408,-161,-948
3555,-596,-119,700
3556,785,-405,346
3557,960,792,842
3558,383,911,-621
3559,894,-674,261
3560,-125,-49,32
3561,-363,863,-143
3562,-451,-435,288
3563,-842,-856,940
3564,-375,-934,714
3565,-437,-119,-144
3566,874,-459,374
3567,-644,321,-610
3568,-598,-313,435
3569,643,362,202
3570,90,953,817
3571,-70,322,-123
3572,-184,33,-502
3573,821,-201,-490
3574,-62,-324,-258
3575,-392,-301,-225
3576,33,-539,999
3577,-85,-337,-147
3578,-351,483,236
3579,-354,586,-188
3580,-879,-154,-590
3581,-221,206,128
3582,-492,499,-379
3583,-698,307,416
3584,949,-933,-828
3585,-40,-947,821
3586,997,427,452
3587,199,64,-915
3588,-267,-286,-141
3589,-395,-516,756
3590,606,532,-840
3591,-255,18,976
3592,-368,-460,-186
3593,-347,-885,215
3594,86,-127,335
3595,54,-936,636
3596,281,-338,874
3597,-564,-355,407
3598,-436,554,-626
3599,978,326,-390
3600,47,-576,440
3601,-759,-949,-278
3602,604,356,401
3603,153,323,362
3604,-809,-386,503
3605,-178,524,-511
3606,800,926,189
3607,-434,171,-828
3608,-56,565,708
3609,437,128,-313
3610,-242,-478,619
3611,-907,-708,766
3612,-204,-81,462
3613,745,-709,-897
3614,-804,-966,474
3615,-831,224,513
3616,-891,571,181
3617,217,-322,-486
3618,585,-323,539
3619,-639,-501,797
3620,98,-14,955
3621,-218,627,-685
3622,216,417,-447
3623,-878,66,868
3624,-324,545,-342
3625,972,263,152
3626,-850,7,-432
3627,-897,235,-23
3628,-342,-314,609
3629,617,-944,197
3630,910,-255,-219
3631,-847,-91,-294
3632,-264,-845,-489
3633,-603,-123,-698
3634,-826,-821,398
3635,108,959,-774
3636,321,53,182
3637,-339,-781,-385
3638,985,-975,-947
3639,267,802,-423
3640,963,626,346
3641,-392,692,-127
3642,-159,10,835
3643,-402,-309,929
3644,-26,-538,-693
3645,-957,-358,-301
3646,628,107,408
3647,770,-668,-338
3648,735,286,-396
3649,181,657,317
3650,26,-837,-391
3651,-143,-526,250
3652,-461,-672,-897
3653,-511,387,-399
3654,481,440,-332
3655,-152,468,53
3656,310,-336,783
3657,588,-964,262
3658,-217,549,-499
3659,595,392,-793
3660,-286,289,502
3661,382,489,-576
3662,-444,730,803
3663,-611,805,-898
3664,-214,-380,-897
3665,120,595,215
3666,-476,416,437
3667,465,73,-834
3668,-175,776,973
3669,411,-913,-662
3670,556,-559,-368
3671,-756,13,418
3672,-723,-530,426
3673,-855,327,80
3674,680,-285,294
3675,-536,-507,-345
3676,259,679,-288
3677,-411,-851,-209
3678,-322,138,-22
3679,-567,-757,-185
3680,509,462,-192
3681,941,-750,-591
3682,563,767,-719
3683,-283,-472,-655
3684,204,-889,501
3685,-620,58,910
3686,-446,753,271
3687,-578,-198,-135
3688,-150,309,39
3689,68,-212,14
3690,667,681,310
3691,-528,-384,-206
3692,468,303,-86
3693,-22,327,-244
3694,126,-818,670
3695,428,954,-651
3696,-471,139,-250
3697,31,-178,387
3698,513,-939,-173
3699,-337,-931,446
3700,-840,818,-826
3701,-771,-964,-330
3702,916,-949,-246
3703,675,-684,263
3704,-844,945,139
3705,195,-663,94
3706,-753,-767,-149
3707,739,174,-641
3708,199,361,499
3709,868,-957,478
3710,602,853,568
3711,-495,725,733
3712,756,717,-582
3713,15,-427,210
3714,-913,829,-357
3715,908,382,-651
3716,1,-124,-679
3717,923,-994,-855
3718,-867,282,-609
3719,-362,-93,-761
3720,8,-538,-145
3721,-10,236,869
3722,189,-905,368
3723,297,-9,-589
3724,325,980,-45
3725,-20,-446,-402
3726,827,-44,-221
3727,-30,-437,-282
3728,343,531,-593
3729,-302,-285,851
3730,429,328,-327
3731,-392,-877,426
3732,-8,272,713
3733,585,388,-384
3734,961,611,758
3735,230,304,647
3736,-842,587,-258
3737,-528,-64,521
3738,-710,-630,-953
3739,691,444,33
3740,-755,458,-248
3741,-891,-407,912
3742,-336,917,-322
3743,-932,-52,282
3744,-381,-745,282
3745,531,-423,-416
3746,-739,-202,-995
3747,-323,562,548
3748,763,-483,735
3749,-584,-899,-280
3750,-180,141,535
3751,492,442,969
3752,-382,603,-739
3753,-770,-191,342
3754,-824,-689,-643
3755,693,273,24
3756,-367,-31,-344
3757,13,-357,-328
3758,860,-655,761
3759,793,-571,-366
3760,950,-496,651
3761,-578,-130,-156
3762,403,309,-972
3763,388,-125,-808
3764,-34,659,220
3765,-362,150,637
3766,787,557,191
3767,616,13,-991
3768,-302,-348,175
3769,454,-86,539
3770,383,453,-553
3771,-750,62,94
3772,-498,-599,-500
3773,270,483,434
3774,-678,-774,776
3775,982,784,-152
3776,-847,-159,608
3777,181,-543,-73
3778,-574,-13,-520
3779,-84,435,-878
3780,774,-62,-962
3781,-406,-835,-375
3782,-508,-694,812
3783,621,-751,950
3784,528,-448,909
3785,882,-10,71
3786,-192,938,-358
3787,120,936,-852
3788,332,194,-490
3789,314,301,903
3790,2,298,-251
3791,-108,-1000,-160
3792,759,-834,51
3793,-489,732,-897
3794,-231,133,691
3795,-873,-593,487
3796,615,-409,-459
3797,130,48,-290
3798,361,-311,-581
3799,264,-601,365
3800,222,32,-12
3801,-395,-879,-164
3802,706,47,987
3803,954,-692,83
3804,601,473,464
3805,712,-686,529
3806,-927,-497,938
3807,-678,963,-192
3808,203,707,-399
3809,-1000,543,144
3810,100,-665,-169
3811,-794,-216,663
3812,154,-519,-800
3813,-534,-861,744
3814,-769,718,-90
3815,-399,-77,-905
3816,-690,-823,-345
3817,-122,-965,-518
3818,-667,-462,-384
3819,391,-365,-875
3820,-709,-214,-326
3821,112,-825,987
3822,-223,-856,-393
3823,-87,626,-408
3824,21,302,-220
3825,361,-118,178
3826,-976,-543,-870
3827,-875,943,763
3828,434,3,-954
3829,-63,939,742
3830,-420,-911,-325
3831,384,-732,-158
3832,388,656,-249
3833,123,985,-522
3834,-924,164,518
3835,-543,474,-594
3836,958,-252,-448
3837,-2,-18,391
3838,-683,911,106
3839,-895,-799,738
3840,387,154,-151
3841,-274,956,-277
3842,1,-587,-656
3843,-664,286,973
3844,-623,998,-207
3845,-171,-656,568
3846,698,-59,852
3847,199,-846,-47
3848,-291,-403,697
3849,96,-228,-272
3850,-540,340,-594
3851,885,-993,637
3852,943,94,979
3853,217,-228,-977
3854,305,-836,-711
3855,660,-499,-989
3856,-359,-67,643
3857,-761,451,-738
3858,-837,470,784
3859,-819,-624,759
3860,-55,473,-931
3861,653,826,-234
3862,77,355,827
3863,-900,-185,-961
3864,-990,-116,-758
3865,-133,-590,-424
3866,864,479,-142
